Batch plan id,Batch plan/Process(Parent Job),Sequence,Enabled?,Job group(Sub-job),Date & Start Time,Schedule,Status (Automated/Manual),Active vs Non Active,BP sequence,BP name,BP description,Group dependency,Dependency behavior,Command Name,Selection.description,Selection.ID
100005,Customer invoicing,110,1,Generate consolidated invoice - Monthly,25/11/2021 04:14,Monthly 20th,Automated,Active,8,Generate consolidated invoice - Charge back fleet inspection,Generates the consolidated invoice for Charge back fleet inspection invoices,500827,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Charge back fleet inspection - UA,500871
100005,Customer invoicing,110,1,Generate consolidated invoice - Monthly,25/11/2021 04:14,Monthly 20th,Automated,Active,9,Generate consolidated invoice - Charge back relief,Generates the consolidated invoice for Charge back relief invoices,500827,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Charge back relief - UA,500872
100005,Customer invoicing,110,1,Generate consolidated invoice - Monthly,25/11/2021 04:14,Monthly 20th,Automated,Active,10,Generate consolidated invoice - Charge back damage,Generates the consolidated invoice for Charge back damage invoices,500827,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Charge back damage - UA,500873
100005,Customer invoicing,110,1,Generate consolidated invoice - Monthly,25/11/2021 04:14,Monthly 20th,Automated,Active,11,Generate consolidated invoice - Charge back other,Generates the consolidated invoice for Charge back other invoices,500827,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Charge back other - UA,500874
100005,Customer invoicing,110,1,Generate consolidated invoice - Monthly,25/11/2021 04:14,Monthly 20th,Automated,Active,12,Generate consolidated invoice - Cancellation,Generates the consolidated invoice for cancellation fee invoices,500827,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Cancellation invoice - UA,500875
100005,Customer invoicing,110,1,Generate consolidated invoice - Monthly,25/11/2021 04:14,Monthly 20th,Automated,Active,13,Generate consolidated invoice - Arrears penalty,Generates the consolidated invoice for arrears penalty invoices,500827,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Arrears penalty invoice - UA,500876
100005,Customer invoicing,110,1,Generate consolidated invoice - Monthly,25/11/2021 04:14,Monthly 20th,Automated,Active,14,Generate consolidated invoice - Charge back MM Monthly,Generates the consolidated invoice for Charge back RMT on daily basis (depending on customer setting),500827,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Charge back MM Monthly invoice,501459
100005,Customer invoicing,110,1,Generate consolidated invoice - Monthly,25/11/2021 04:14,Monthly 20th,Automated,Active,20,Update invoiced cost center on consolidated invoice - Monthly,Updates invoiced cost center (consolidated at) on consolidated invoices - to be run after each consolidated invoice run,500827,3058,UpdateAttribute,Find consolidated invoices to update invoiced cost centre,500896
100005,Customer invoicing,110,1,Generate consolidated invoice - Monthly,25/11/2021 04:15,Monthly 20th,Automated,Active,21,Update invoiced cost center id on consolidated invoice - Monthly,to be updated on each consolidated invoice run,500827,3058,UpdateAttribute,Find consolidated invoices to update invoiced cost centre id,500921
100005,Customer invoicing,110,1,Generate consolidated invoice - Monthly,25/11/2021 04:16,Monthly 20th,Automated,Active,22,Update consolidated invoice invoicing address with consolidated cost center address - Monthly,to be updated on each consolidated invoice run,500827,3058,UpdateAttribute,Find consolidated invoices to update the invoicing address,500923
100005,Customer invoicing,110,1,Generate consolidated invoice - Monthly,25/11/2021 04:16,Monthly 20th,Automated,Active,23,Update consolidated invoice sending address with consolidated cost center address - Monthly,to be updated on each consolidated invoice run,500827,3058,UpdateAttribute,Find consolidated invoices to update the invoicing address,500923
100005,Customer invoicing,120,1,OEM Profit share invoice,31/12/2021 15:54,Last day Monthly,Automated,Active,1,Generate Billing items for VAT No Claim clearing,Generates VAT No Claim clearing billing items for OEM.,,3058,GenerateBillingItems,VAT No Claim Balance,501407
100005,Customer invoicing,120,1,OEM Profit share invoice,31/12/2021 15:54,Last day Monthly,Automated,Active,2,OEM Profit share invoicing,"Creates outgoing invoices for OEM Profit Share 
- OEM Profit share BI
- VAT Clearing BI",,3058,GenerateInvoice,,
100005,Customer invoicing,120,1,OEM Profit share invoice,31/12/2021 15:54,Last day Monthly,Automated,Active,3,Set Joint Venture on outgoing sales invoice - Last day monthly,Updates the Joint Venture on sales invoice  - Last day monthly,,3058,ExecuteFormula,Find outgoing invoices to set joint venture,500899
100005,Customer invoicing,120,1,OEM Profit share invoice,31/12/2021 15:54,Last day Monthly,Automated,Active,4,Update invoiced cost center on outgoing invoice - Last day monthly,Updates invoiced cost center on outgoing invoice - Last day monthly,,3058,UpdateAttribute,Find outgoing invoices to update invoiced cost centre,500901
100005,Customer invoicing,120,1,OEM Profit share invoice,31/12/2021 15:54,Last day Monthly,Automated,Active,5,Update invoiced cost center on outgoing invoice with Financial Customer - Last day monthly,Updates invoiced cost center on outgoing invoice with Financial Customer  - Last day monthly,,3058,UpdateAttribute,Find outgoing invoices to update invoiced cost centre with Financial Customer,500903
100005,Customer invoicing,120,1,OEM Profit share invoice,31/12/2021 15:54,Last day Monthly,Automated,Active,6,Update invoiced cost center id on outgoing invoice - Last day monthly,Updates invoiced cost center id on outgoing invoice  - Last day monthly,,3058,UpdateAttribute,Find outgoing invoices to update invoiced cost centre,500901
100005,Customer invoicing,125,1,Generate consolidated invoice - Last day monthly,31/12/2021 15:54,Last day Monthly,Automated,Active,1,Generate consolidated invoice - OEM Profit Share,Generates the consolidated invoice for OEM Profit Share,,3058,GenerateConsolidatedInvoice,Find customers for CI generation - OEM Profit Share,501425
100005,Customer invoicing,125,1,Generate consolidated invoice - Last day monthly,31/12/2021 15:54,Last day Monthly,Automated,Active,2,Update invoiced cost center on consolidated invoice - Last day monthly,Updates invoiced cost center (consolidated at) on consolidated invoices - to be run after each consolidated invoice run,,3058,UpdateAttribute,Find consolidated invoices to update invoiced cost centre,500896
100005,Customer invoicing,125,1,Generate consolidated invoice - Last day monthly,31/12/2021 15:54,Last day Monthly,Automated,Active,3,Update invoiced cost center id on consolidated invoice - Last day monthly,to be updated on each consolidated invoice run,,3058,UpdateAttribute,Find consolidated invoices to update invoiced cost centre id,500921
100005,Customer invoicing,125,1,Generate consolidated invoice - Last day monthly,31/12/2021 15:54,Last day Monthly,Automated,Active,4,Update consolidated invoice invoicing address with consolidated cost center address - Last day monthly,to be updated on each consolidated invoice run,,3058,UpdateAttribute,Find consolidated invoices to update the invoicing address,500923
100005,Customer invoicing,125,1,Generate consolidated invoice - Last day monthly,31/12/2021 15:54,Last day Monthly,Automated,Active,5,Update consolidated invoice sending address with consolidated cost center address - Last day monthly,to be updated on each consolidated invoice run,,3058,UpdateAttribute,Find consolidated invoices to update the invoicing address,500923
100005,Customer invoicing,130,1,Customer Profit share invoice,,Half-yearly,Automated,Active,1,Customer Profit share invoicing,Creates outgoing invoices for Profit Share,,3058,GenerateInvoice,,
100005,Customer invoicing,130,1,Customer Profit share invoice,,Half-yearly,Automated,Active,2,Set Joint Venture on outgoing sales invoice - Half yearly,Updates the Joint Venture on sales invoice  - Half yearly,,3058,ExecuteFormula,Find outgoing invoices to set joint venture,500899
100005,Customer invoicing,130,1,Customer Profit share invoice,,Half-yearly,Automated,Active,3,Update invoiced cost center on outgoing invoice - Half yearly,Updates invoiced cost center on outgoing invoice - Half yearly,,3058,UpdateAttribute,Find outgoing invoices to update invoiced cost centre,500901
100005,Customer invoicing,130,1,Customer Profit share invoice,,Half-yearly,Automated,Active,4,Update invoiced cost center on outgoing invoice with Financial Customer - Half yearly,Updates invoiced cost center on outgoing invoice with Financial Customer  - Half yearly,,3058,UpdateAttribute,Find outgoing invoices to update invoiced cost centre with Financial Customer,500903
100005,Customer invoicing,130,1,Customer Profit share invoice,,Half-yearly,Automated,Active,5,Update invoiced cost center id on outgoing invoice - Half yearly,Updates invoiced cost center id on outgoing invoice  - Half yearly,,3058,UpdateAttribute,Find outgoing invoices to update invoiced cost centre,500901
100005,Customer invoicing,135,1,Generate consolidated invoice - Half yearly,,Half-yearly,Automated,Active,1,Generate consolidated invoice - Profit Share,Generates the consolidated invoice for Profit Share,,3058,GenerateConsolidatedInvoice,Find customers for CI generation - Profit Share,501426
100005,Customer invoicing,135,1,Generate consolidated invoice - Half yearly,,Half-yearly,Automated,Active,2,Update invoiced cost center on consolidated invoice - Half yearly,Updates invoiced cost center (consolidated at) on consolidated invoices - to be run after each consolidated invoice run,,3058,UpdateAttribute,Find consolidated invoices to update invoiced cost centre,500896
100005,Customer invoicing,135,1,Generate consolidated invoice - Half yearly,,Half-yearly,Automated,Active,3,Update invoiced cost center id on consolidated invoice - Half yearly,to be updated on each consolidated invoice run,,3058,UpdateAttribute,Find consolidated invoices to update invoiced cost centre id,500921
100005,Customer invoicing,135,1,Generate consolidated invoice - Half yearly,,Half-yearly,Automated,Active,4,Update consolidated invoice invoicing address with consolidated cost center address - Half yearly,to be updated on each consolidated invoice run,,3058,UpdateAttribute,Find consolidated invoices to update the invoicing address,500923
100005,Customer invoicing,135,1,Generate consolidated invoice - Half yearly,,Half-yearly,Automated,Active,5,Update consolidated invoice sending address with consolidated cost center address - Half yearly,to be updated on each consolidated invoice run,,3058,UpdateAttribute,Find consolidated invoices to update the invoicing address,500923
100005,Customer invoicing,136,1,NPS persistant payment schedule,23/01/2022 18:05,Monthly 21st,Automated,Active,1,Build the NPS payment schedule for a contract and persist to database - Monthly Weekly,Build the NPS payment schedule for a contract and persist to database - Monthly & Weekly,500827,3058,PersistNPSContractSchedule,Find contracts for Build the NPS payment schedule - Monthly Weekly,501533
100005,Customer invoicing,999,0,Document generation monthly invoices,,Disabled,Manual,Non Active,1,Generate documents for anticipated monthly invoices (OL),,,3058,GenerateAndSendDocument,Anticipated monthly invoices (OL) not yet printed,100287
100005,Customer invoicing,999,0,Monthly ST customer invoice run,,Disabled,Manual,Non Active,1,Short term billing active contracts,,,3057,BillShortTermContract,Active ST contracts eligible for billing,100488
100005,Customer invoicing,999,0,Operating Lease Contract Termination - Stock posting,,Disabled,Manual,Non Active,1,Operating Lease Contract Termination - Stock posting,Launches the automatic posting template for the stock posting of operating leases terminated in the last 5 days.,100457,3058,SofTriggerAutoPostingTemplate,OL Contracts terminated in last 5 days,100404
100005,Customer invoicing,999,0,Daily ST customer invoice run,,Disabled,Manual,Non Active,1,Short term billing terminated contracts,,,3057,BillShortTermContract,Terminated ST contracts eligible for billing,100487
100005,Customer invoicing,999,0,Daily ST customer invoice run,,Disabled,Manual,Non Active,2,Wash out short term billing terminated contracts,,,3057,WashOutShortTermContract,Terminated ST contracts eligible for billing,100487
100005,Customer invoicing,999,0,Document generation daily invoices,,Disabled,Manual,Non Active,2,Generate documents for first period invoices (OL),,,3058,GenerateAndSendDocument,First period invoices (OL) not yet printed,100285
100005,Customer invoicing,999,0,Monthly ST customer invoice run,,Disabled,Manual,Non Active,2,Wash out short term billing active contracts,,,3057,WashOutShortTermContract,Active ST contracts eligible for billing,100488
100005,Customer invoicing,999,0,Document generation daily invoices,,Disabled,Manual,Non Active,3,Generate documents for monthly invoices (FL),,,3058,GenerateAndSendDocument,Monthly invoices (FL) not yet printed,100286
100005,Customer invoicing,999,0,Monthly ST customer invoice run,,Disabled,Manual,Non Active,3,Short-term invoicing active contracts,Creates outgoing invoices for short-term contract billing,,3057,GenerateInvoice,,
100005,Customer invoicing,999,0,Daily ST customer invoice run,,Disabled,Manual,Non Active,3,Short-term invoicing terminated contracts,Creates outgoing invoices for short-term contract billing,,3057,GenerateInvoice,,
100005,Customer invoicing,999,0,Document generation daily invoices,,Disabled,Manual,Non Active,4,Generate documents for downpayment invoices,,,3058,GenerateAndSendDocument,Down payment invoices not yet printed,100288
100005,Customer invoicing,999,0,Document generation daily invoices,,Disabled,Manual,Non Active,5,Generate documents for modification invoices,,,3058,GenerateAndSendDocument,Modification invoices not yet printed,100289
100005,Customer invoicing,999,0,Document generation daily invoices,,Disabled,Manual,Non Active,6,Generate documents for vehicle sale invoices,,,3058,GenerateAndSendDocument,Vehicle sale invoices not yet printed,100290
100005,Customer invoicing,999,0,Document generation daily invoices,,Disabled,Manual,Non Active,7,Generate documents for charge back invoices and termination invoices,,,3058,GenerateAndSendDocument,Charge back- and termination invoices not yet printed,100291
100005,Customer invoicing,999,0,Document generation daily invoices,,Disabled,Manual,Non Active,8,Generate documents for buffer settlement invoices,,,3058,GenerateAndSendDocument,Buffer settlement invoices not yet printed,100292
100005,Customer invoicing,999,0,Document generation daily invoices,,Disabled,Manual,Non Active,9,Generate documents for fuel settlement invoices,,,3058,GenerateAndSendDocument,Fuel settlement invoices not yet printed,100310
100005,Customer invoicing,999,0,Document generation daily invoices,,Disabled,Manual,Non Active,10,Generate documents for distance settlement invoices,,,3058,GenerateAndSendDocument,Distance settlement invoices not yet printed,100293
100006,"MRI, not needed (Contract follow-up)",2,0,Vehicle order and delivery follow-up,,Evening,Manual,Non Active,,,,,3058,,,
100006,"MRI, not needed (Contract follow-up)",3,0,Contract activation,,Evening,Manual,Non Active,,,,,3058,,,
100006,"MRI, not needed (Contract follow-up)",4,0,Automatic contract termination,,Evening,Manual,Non Active,,,,,3058,,,
100006,"MRI, not needed (Contract follow-up)",5,0,Update vehicle ownership on GBB fleet vehicles after purchase,,Evening,Manual,Non Active,,,,,3058,,,
100006,"MRI, not needed (Contract follow-up)",6,0,Create and sell bid,,Evening,Manual,Non Active,,,,,3058,,,
100006,"MRI, not needed (Contract follow-up)",99,0,Fleet vehicle status updates,,Night,Manual,Non Active,1,Update fleet vehicle status (stolen),"Updates the fleet vehicle status to ""out of fleet (stolen)"" for terminated contracts with incident type = ""theft"".",,3058,ExecuteFormula,Find thefts with terminated contracts,100481
100006,"MRI, not needed (Contract follow-up)",99,0,Upfront billing follow-up on canceled contracts,,Evening,Manual,Non Active,1,Upfront billing check for canceled contracts,"Start follow-up process for canceled contracts with remaining upfront billing, incl. setting the status of yet to be invoiced upfront billing item to 'is to be validated' upon starting the process.  ",,3058,StartNewProcess,Canceled contracts requiring upfont billing follow-up,100437
100006,"MRI, not needed (Contract follow-up)",99,0,Vehicle order and fleet vehicle follow-up on canceled contracts,,Evening,Manual,Non Active,1,Follow-up on vehicle order for canceled contracts,Start a follow-up process for canceled contracts with a vehicle order already created.,,3057,StartNewProcess,Canceled contracts requiring vehicle order follow-up,100435
100006,"MRI, not needed (Contract follow-up)",99,0,Deposit follow-up on canceled or terminated contracts,,Evening,Manual,Non Active,1,Deposit check for canceled/terminated contracts,Start a follow-up process for canceled or terminated contracts with remaining deposits (possibly indicating deposits that would still need to be canceled/closed),,3058,StartNewProcess,Canceled or terminated contracts with active deposits,100421
100006,"MRI, not needed (Contract follow-up)",99,0,Upfront billing,,Evening,Manual,Non Active,1,Bill upfront changes in case of contract modification,Re-evaluates upfront billing for all contracts with recent changes concerning customer or driver upfronts (selection using hardcoded SQL) for service type 'net rental' (service type enum ID 430). These BI will be picked up by a daily invoice run.,,3058,BillUpfrontForContractCommand,Detect contracts with recent upfront changes,100199
100006,"MRI, not needed (Contract follow-up)",99,0,Contract closure process,,Monthly,Manual,Non Active,1,End of contract buffer settlement,Performs a buffer settlement of terminated contracts with an open calculation service.,,3057,BufferSettlementCommand,Terminated contracts with open calculation services,100218
100006,"MRI, not needed (Contract follow-up)",99,0,Vehicle order and fleet vehicle follow-up on canceled contracts,,Evening,Manual,Non Active,2,Cancel fleet vehicle after contract cancellation,Set the fleet vehicle status to 'out of fleet' for canceled contracts that have already a fleet vehicle created but for which the vehicle order is 'canceled' or no vehicle order was registered.,,3057,ExecuteFormula,Fleetvehicles to be canceled,100429
100006,"MRI, not needed (Contract follow-up)",99,0,Fleet vehicle status updates,,Night,Manual,Non Active,2,Update fleet vehicle status (total loss),"Updates the fleet vehicle status to ""out of fleet (total loss)"" for terminated contracts with total loss incident.",,3058,ExecuteFormula,Find total losses with terminated contracts,100482
100006,"MRI, not needed (Contract follow-up)",99,0,Vehicle order and fleet vehicle follow-up on canceled contracts,,Evening,Manual,Non Active,3,Follow-up on fleet vehicle for canceled contracts,Start a follow-up process for canceled contracts with a fleet vehicle created without vehicle order. The follow-up of fleet vehicles with vehicle order is done via the vehicle order (by bulk processor id 100046).,,3057,StartNewProcess,Canceled contracts requiring fleet vehicle follow-up,100436
100007,"MRI, not needed (Fuel)",1,0,Monthly settlement of provisioned and unprovisioned fuel,,Monthly,Manual,Non Active,1,Fuel - monthly settlement of provisioned and unprovisioned fuel,"Performs a settlement of all contracts with a fuel service. As there are no provisions, this settlement will simply total all fuel costs until the last day of the past month.",,3058,EvaluateBufferClause,Contracts with fuel,100216
100007,"MRI, not needed (Fuel)",2,0,Quarterly settlement of provisioned fuel,,Quarterly,Manual,Non Active,1,Fuel - quarterly settlement of provisioned fuel,Performs a buffer evaluation of contracts with a provisioned fuel service.,,3058,EvaluateBufferClause,Contracts with provisioned fuel,100205
100007,"MRI, not needed (Fuel)",3,0,Half-yearly settlement of provisioned fuel,,Half-yearly,Manual,Non Active,1,Fuel - half-yearly settlement of provisioned fuel,Performs a buffer evaluation of contracts with a provisioned fuel service.,,3058,EvaluateBufferClause,Contracts with provisioned fuel,100205
100007,"MRI, not needed (Fuel)",4,0,Yearly settlement of provisioned fuel,,Yearly,Manual,Non Active,1,Fuel - yearly settlement of provisioned fuel,Performs a buffer evaluation of contracts with a provisioned fuel service.,,3058,EvaluateBufferClause,Contracts with provisioned fuel,100205
100008,"MRI, not needed (Dist. Monitor)",1,0,Yearly contract distance evaluation,,Yearly,Manual,Non Active,1,Distance monitoring - yearly contract distance evaluation,Yearly evaluation of all contracts that have excess/less distance prices specified.,,3058,PerformContractDistanceCorrection,Contracts with excess/less distance prices,100319
100009,TPSC management,10,1,Cancellation of TPSCs,17/11/2021 17:15,Evening,Automated,Active,1,Cancel TPSCs after contract cancellation,"Set the TPSC status to 'canceled' for TPSCs where it is not too late to cancel them, e.g. TPSC has not been requested yet or is currently not active.",,3058,ExecuteFormula,TPSCs to be canceled,100419
100009,TPSC management,10,1,Cancellation of TPSCs,15/12/2021 17:15,Evening,Automated,Active,2,Cancel TPSCs without current version (linked to initialized contracts),"Set the TPSC status to 'canceled' for TPSCs where it is not too late to cancel them, e.g. TPSC has not been requested yet or is currently not active.",,3058,ExecuteFormula,TPSC without current version (linked to Initialized contracts) to be canceled,501698
100009,TPSC management,20,1,Set TPSC provider,17/11/2021 17:15,Evening,Automated,Active,1,Set Telematics TPSC provider,This process sets the TPSC provider on Telematics TPSCs.,,3058,ExecuteFormula,Set TPSC provider on initialized Telematics TPSCs,500522
100009,TPSC management,20,1,Set TPSC provider,17/11/2021 17:15,Evening,Automated,Active,2,Set Insurance other TPSC provider,"This process sets the TPSC provider on ""Insurance Other"" TPSCs.",,3058,ExecuteFormula,Set TPSC provider on initialized Insurance Other TPSCs,500538
100009,TPSC management,20,1,Set TPSC provider,17/11/2021 17:15,Evening,Automated,Active,3,Set License TPSC provider,This process sets the TPSC provider on License TPSCs.,,3058,ExecuteFormula,Set TPSC provider on initialized License TPSCs,500546
100009,TPSC management,20,1,Set TPSC provider,17/11/2021 17:15,Evening,Automated,Active,4,Set RMT Collect and Pay Over TPSC provider,This process sets the TPSC provider on RMT Collect and Pay Over TPSCs.,,3058,ExecuteFormula,Set TPSC provider on initialized Collect and Pay Over TPSCs,500567
100009,TPSC management,30,1,Activation of other TPSCs,28/12/2021 17:15,Evening,Automated,Active,1,Activate remaining initialized TPSCs after contract start,This process activates any remaining (initialized) TPSCs in a running contract. Assumption is that this is the process of 'last resort'; meaning that any specific TPSC requests (especially those via interface) should have been done before.,,3058,ActivateTPSC,Remaining initialized TPSCs to be activated for running contract,100387
100009,TPSC management,30,1,Activation of other TPSCs,17/11/2021 17:15,Evening,Automated,Active,2,Update TPSC End Date for newly activated TPSC,,,3058,ExecuteFormula,Activated TPSCs for End Date update,500602
100009,TPSC management,50,1,Termination of other TPSCs,17/11/2021 17:15,Evening,Automated,Active,1,Terminate remaining TPSCs after contract end,This process terminates any remaining TPSCs in a terminated contract. Assumption is that this is the process of 'last resort'; meaning that any specific TPSC terminations (especially those via interface) should have been done before.,,3058,TerminateTPSC,Remaining TPSCs to be terminated for terminated contract,100388
100009,TPSC management,60,1,Renew RMT Collect and Pay Over TPSC - Monthly 1st,08/12/2021 10:16,Evening,Automated,Active,1,Renew RMT Collect and Pay Over - 1st - current month renewal,This job creates renewal order for Collect and Pay Over TPSC which are to be renewed for the current month and paid on a monthly basis.,,3058,ReorderTPSC,RMT Collect and Pay Over - to be renewed - 1st - current month,500568
100009,TPSC management,61,1,Renew RMT Collect and Pay Over TPSC - Monthly 5th,08/12/2021 10:17,Evening,Automated,Active,1,Renew RMT Collect and Pay Over - 5th - current month renewal,This job creates renewal order for Collect and Pay Over TPSC which are to be renewed for the current month and paid on a monthly basis.,,3058,ReorderTPSC,RMT Collect and Pay Over - to be renewed - 5th - current month,500577
100009,TPSC management,62,1,Renew RMT Collect and Pay Over TPSC - Monthly 16th,16/01/2022 17:30,Evening,Automated,Active,1,Renew RMT Collect and Pay Over - 16th - current month renewal,This job creates renewal order for Collect and Pay Over TPSC which are to be renewed for the current month and paid on a monthly basis.,,3058,ReorderTPSC,RMT Collect and Pay Over - to be renewed - 16th - current month,500578
100009,TPSC management,70,1,Renew GOSCOR TPSC - Monthly 1st,08/12/2021 10:18,Evening,Automated,Active,1,Renew GOSCOR (Telematics and RMT Collect and Pay Over) TPSC - 1st - current month renewal,This job creates renewal order for Telematics and RMT Collect and Pay Over for GOSCOR TPSC which are to be renewed for the current month and paid on a monthly basis.,,3058,ReorderTPSC,GOSCOR - to be renewed - 1st - current month,500570
100009,TPSC management,80,1,Renew Roadside Assistance TPSC,01/01/2022 17:30,Evening,Automated,Active,1,Renew AA FLEETCARE Roadside Assistance,This job creates renewal order for AA Roadside Assistance TPSC which are to be renewed and paid on a monthly basis.,,3058,ReorderTPSC,Roadside assistance - AA FLEETCARE - to be renewed,500525
100009,TPSC management,90,1,Renew Telematics TPSC - Monthly 1st,28/01/2022 13:10,Evening,Automated,Active,1,Renew Telematics - 1st - current month renewal,This job creates renewal order for Telematics TPSC which are to be renewed for the current month and paid on a monthly basis.,,3058,ReorderTPSC,Telematics - to be renewed - 1st - current month,500535
100009,TPSC management,100,1,Renew Telematics TPSC - Monthly 7th,08/12/2021 10:24,Evening,Automated,Active,1,Renew Telematics - 7th - current month renewal,This job creates renewal order for Telematics TPSC which are to be renewed for the current month and paid on a monthly basis.,,3058,ReorderTPSC,Telematics - to be renewed - 7th - current month,500561
100009,TPSC management,110,1,Renew Telematics TPSC - Monthly 13th,13/01/2022 17:30,Evening,Automated,Active,1,Renew Telematics - 13th - current month renewal,This job creates renewal order for Telematics TPSC which are to be renewed for the current month and paid on a monthly basis.,,3058,ReorderTPSC,Telematics - to be renewed - 13th - current month,500563
100009,TPSC management,120,1,Renew Telematics TPSC - Monthly 22nd,08/12/2021 10:28,Evening,Automated,Active,1,Renew Telematics - 22nd - following month renewal,This job creates renewal order for Telematics TPSC which are to be renewed for the follwoing month and paid on a monthly basis.,,3058,ReorderTPSC,Telematics - to be renewed - 22nd - following month,500536
100009,TPSC management,130,1,Renew Telematics TPSC - Monthly 26th,08/12/2021 10:32,Evening,Automated,Active,1,Renew Telematics - 26th - following month renewal,This job creates renewal order for Telematics TPSC which are to be renewed for the follwoing month and paid on a monthly basis.,,3058,ReorderTPSC,Telematics - to be renewed - 26th - following month,500562
100009,TPSC management,140,1,Renew Insurance Other TPSC,08/12/2021 10:25,Evening,Automated,Active,1,Renew Insurance Other,"This job creates renewal order for ""Insurance - Other"" TPSC which are to be renewed and paid on a monthly basis.",,3058,ReorderTPSC,Insurance - Other - to be renewed,500541
100009,TPSC management,150,1,Renew Insurance FNB TPSC,25/11/2021 14:56,Evening,Automated,Active,1,Renew FNB Insurance,This job creates renewal order for FNB insurance TPSC which are to be renewed and paid on a monthly basis.,,3058,ReorderTPSC,Insurance - FNB - to be renewed,500464
100009,TPSC management,160,1,Generate License Renewal export,31/12/2021 15:40,Last day Monthly,Automated,Active,1,contracts due for license renewal or replacement,,,3058,ExportSearchData,,
100009,TPSC management,170,1,Generate Purchase Invoices for TPSCs,03/12/2021 19:19,Last day Monthly,Automated,Non Active,1,Generate Purchase Invoices for License Renewals,generates purchase invoices for license renewals,,3058,SofGenericCostImportFromSelection,,
100009,TPSC management,180,0,Renewal order import connector,23/07/2020 11:26,Disabled,Manual,Non Active,1,Generic Renewal Order Import Connector,,,3058,ExecuteConnector,,
100009,TPSC management,190,1,Certificate of Fitness expiry date setting,17/11/2021 17:15,Evening,Automated,Active,1,Update COF Expiry date,,,3058,ExecuteFormula,Fleet vehicles requiring COF date,500597
100009,TPSC management,999,0,Set fuel card status to be terminated,,Disabled,Manual,Non Active,1,Update fuel card status to termianted,Updates fuel card status to terminated,,3058,ExecuteFormula,Fuel Card TPSCs to be terminated for terminated contracts,500560
100009,TPSC management,999,0,Instantiation of TPSC for Personal Accident Insurance,,Disabled,Manual,Non Active,1,Add TPSC for 'Personal Accident Insurance' on ST contracts with pool vehicle,Check ST contracts including PAI as extra insurance service. If a pool vehicle is delivered for the contract a TPSC must be linked to the PAI lease service component in the ST contract.,,3058,LinkTPSCtoLSC,ST contracts with pool vehicle including PAI,100498
100010,"MRI, not needed (VS)",1,0,Default sales channel assignments,,Night,Manual,Non Active,1,Determine default sales channel for fleet vehicle,Dynamically determines the default sales channel based on formula logic for (owned) fleet vehicles nearing contract end.,,3058,ExecuteFormula,Fleet vehicles without default sales channel assignment,100403
100010,"MRI, not needed (VS)",1,0,Default sales channel assignments,,Night,Manual,Non Active,2,Assignment of fleet vehicles to their default sales channel,Assigns a fleet vehicle to its default sales channel as specified on the fleet vehicle (cf. dynamic attribute DefaultSalesChannel),,3058,AssignVehicleToSalesChannel,Fleet vehicles to be assigned to sales channel,100402
100011,Monthly accounting operations,1,1,Accrual posting,30/11/2021 17:13,Last day Monthly,Automated,Active,1,Accruals for renewal orders,,,3058,SofTriggerProvisionAutoPostingTemplate,TPSC Orders to be processed,501350
100011,Monthly accounting operations,1,1,Accrual posting,30/11/2021 17:13,Last day Monthly,Automated,Active,2,Post accrual,,,3058,PostPaymentDocuments,Find allocated accrual payment documents,501415
100011,Monthly accounting operations,2,1,Reverse accrual posting,01/01/2022 07:08,First day Monthly,Automated,Active,1,Post accrual reversal,,,3058,PostPaymentDocuments,Find allocated accrual reversal payment documents,501416
100011,Monthly accounting operations,10,1,Income recognition rentals,30/11/2021 17:13,Last day Monthly,Automated,Active,1,Contract revision calculation before billing - In Arrears - Monthly - For Income Recognition,Triggers the revision formulas on NPS contracts which have period duration set to Months. Contracts which will be recalculated are those which have a variable interest rate or contracts which have LSC which are set to precomputed = false.,,3058,WBSACalculateRevisionFormulas,Find contracts for revision calculation - Monthly - In Arrears - For Income Recognition,501438
100011,Monthly accounting operations,10,1,Income recognition rentals,30/11/2021 17:15,Last day Monthly,Automated,Active,2,Calculate Next Bill End Date - In Arrears - Monthly - For Income Recognition,Calculates the Bill Next Due Date on contracts,,3058,ExecuteFormula,Find NPS contracts for Next Bill End Date calculation - Monthly - In Arrears - For Income Recognition,501437
100011,Monthly accounting operations,10,1,Income recognition rentals,30/11/2021 17:23,Last day Monthly,Automated,Active,3,Bill NPS Contracts - Monthly - In Arrears - For Income Recognition,Creates billing items for contracts which have period duration = months and are invoiced In Arrears,,3058,NPSBillingItemCreation,Find NPS contracts for billing item creation - Monthly - In Arrears - For Income Recognition,501439
100011,Monthly accounting operations,10,1,Income recognition rentals,30/11/2021 17:40,Last day Monthly,Automated,Active,5,Calculate Next Bill End Date - Monthly (After 20th) - 1st month backdated activation,Calculates the Bill Next Due Date on contracts,,3058,ExecuteFormula,Find NPS contracts for Next Bill End Date calculation - Monthly (After 20th) - 1st month backdated activation,501537
